"";"101";"01131";"0113104004";"Other chicory";"01214";"70529000"
"";"101";"01131";"0113105001";"Spinach, New Zealand spinach and orache spinach (garden spinach)";"01215";"70970000"
"";"101";"01131";"0113105002";"Bayam (chinese spinach)";"01215";"70970000"
"";"101";"01131";"0113106001";"Glove artichokes";"01216";"70910000"
"";"101";"01131";"0113107001";"Kangkong (water spinach)";"01219";"70990900"
"";"101";"01131";"0113107002";"Cekur manis (Sweet shoot)";"01219";"70990900"
"";"101";"01131";"0113107003";"Maman (gynandropsis gynandra)";"01219";"70990900"
"";"101";"01131";"0113107004";"Selada air (water cress)";"01219";"70990900"
"";"101";"01131";"0113107005";"Other leafy or stem vegetables";"01219";"70990900"
"";"101";"01132";"0113201001";"Cucumbers and gherkins";"01232";"70700000"
"";"101";"01132";"0113202001";"Aubergines (egg-plants)";"01233";"70930000"
"";"101";"01132";"0113203001";"Tomatoes";"01234";"70200000"
"";"101";"01132";"0113204001";"Angled loofah (Petola)";"01235";"70200000"
"";"101";"01132";"0113204002";"Snake gourd (Petola ular)";"01235";"70200000"
"";"101";"01132";"0113204003";"Bitter gourd (Peria)";"01235";"70200000"
"";"101";"01132";"0113204004";"Bottle gourd (Labu air)";"01235";"70200000"
"";"101";"01132";"0113204005";"Pumpkin (Labu manis)";"01235";"70200000"
"";"101";"01132";"0113204006";"Wax gourd (Kundur)";"01235";"70200000"
"";"101";"01132";"0113205001";"Lady's fingers (kacang bendi)";"01239";"70990200"
"";"101";"01132";"0113205002";"Capers";"01239";"70990200"
"";"101";"01132";"0113205003";"Other fruit bearing vegetable, shelled or unshelled";"01239";"70990200"
"";"101";"01133";"0113301001";"Watermelons";"01221";"80711000"
"";"101";"01133";"0113302001";"Honeydew (tembikai susu)";"01229";"80719000"
"";"101";"01133";"0113302002";"Rock Melons";"01229";"80719000"
"";"101";"01133";"0113302003";"Other melons";"01229";"80719000"
"";"101";"01134";"0113401001";"Mushrooms";"01270";"70951000"
"";"101";"01134";"0113401002";"Truffles";"01270";"70952000"
"";"101";"01135";"0113501001";"Vegetable seeds";"01260";"120991000"
"";"101";"01136";"0113601001";"Celery, other than celeriac";"01290";"70940000"
"";"101";"01136";"0113601002";"Baby corn (putik jagung)";"01290";"70990100"
"";"101";"01136";"0113601003";"Bean shoots and sprouts";"01290";"70940000"
"";"101";"01136";"0113601004";"Soya bean sprouts";"01290";"70940000"
"";"101";"01136";"0113601005";"Chinese water chestnut (eleocharis dulcis)";"01290";"70940000"
"";"101";"01136";"0113601006";"Other vegetables";"01290";"70940000"
"";"101";"01137";"0113701001";"Sugar beet";"01801";"121291000"
"";"101";"01137";"0113702001";"Sugar beet seed";"01803";"120911000"
"";"101";"01138";"0113801001";"Kucai (chinese chives)";"01219";"70990900"
"";"101";"01138";"0113802001";"Carrots and turnips";"01251";"70610000"
"";"101";"01138";"0113803001";"Garlic";"01252";"70320000"
"";"101";"01138";"0113804001";"Onions and shallots";"01253";"70310000"
"";"101";"01138";"0113805001";"Leeks and other alliaceous vegetables";"01254";"70390000"
"";"101";"01138";"0113806001";"Salad beet root, salsify, celeriac, radishes and similar edible roots";"01259";"70690000"
"";"101";"01138";"0113806002";"Other root, bulb and tuberous vegetables, n.e.c.";"01259";"70690000"
"";"101";"01138";"0113807001";"Potato germinated";"01510";"70110000"
"";"101";"01138";"0113807002";"Potatoes";"01510";"70190000"
"";"101";"01138";"0113808001";"Sweet potatoes (keledek)";"01591";"71420000"
"";"101";"01138";"0113809001";"Ubi kayu, (Manioc/cassava/tapioca)";"01592";"71410100"
"";"101";"01138";"0113810001";"Yams";"01593";"71490900"
"";"101";"01138";"0113811001";"Other edible roots and tubers with high starch or inulin content, n.e.c.";"01599";"71490900"
"";"101";"01140";"0114001001";"Sugar cane";"01802";"121292000"
"";"101";"01150";"0115001001";"Tobacco leaves, fresh";"01970";"2401.1"
"";"101";"01160";"0116001001";"Cotton, whether or not ginned";"01921";"520100000"
"";"101";"01160";"0116002001";"Jute and other textile bast fibres, raw or retted";"01922";"530310000"
"";"101";"01160";"0116002002";"Kenaf";"01922";"530310000"
"";"101";"01160";"0116003001";"Sisal and other textile fibres of the genus Agave, raw";"01929";"530500000"
"";"101";"01160";"0116003002";"True hemp, raw or retted";"01929";"530210000"
"";"101";"01160";"0116003003";"Coconut coir, raw";"01929";"530500000"
"";"101";"01160";"0116003004";"Abaca, raw";"01929";"530500000"
"";"101";"01160";"0116003005";"Flax, raw or retted";"01929";"530500000"
"";"101";"01160";"0116003006";"Other vegetable textile fibres, raw or processed but not spun and their waste";"01929";"530500000"
"";"101";"01191";"0119101001";"Orchid, fresh";"01962";"60313000"
