kod;masco2020;keterangan
;111114;Ahli Dewan Negara
;111115;Yang di-Pertua Dewan Rakyat
;111116;Timbalan Yang di-Pertua Dewan Rakyat
;111201;Penyimpan Mohor Besar Raja-Raja
;111202;Ketua Setiausaha Negara
;111203;Ketua Pengarah Perkhidmatan Awam
;111204;Peguam Negara
;111205;Ketua Setiausaha Perbendaharaan
;111206;Ketua Audit Negara
;111207;Ketua Polis Negara
;111208;Ketua Pengarah Kesihatan
;111209;Panglima Angkatan Tentera
;111210;Akauntan Negara
;111211;Gabenor
;111212;Ketua Pengarah Kastam
;111213;Ketua Pengarah Bomba
;111214;Ketua Setiausaha Kementerian
;111215;Ketua Pengarah Jabatan Kerajaan
;111216;Pengurus Besar, Kerajaan Serantau
;111217;Ketua Jabatan Kerajaan
;111218;Ketua Perangkawan
;111219;Setiausaha Suruhanjaya
;111220;Setiausaha Kerajaan Negeri
;111221;Timbalan Setiausaha Kerajaan Negeri
;111222;Ketua Pegawai Eksekutif Badan Berkanun
;111223;Ketua Eksekutif Badan Berkanun
;111224;Ketua Pengarah Badan Berkanun
;111225;Pengarah Besar Badan Berkanun
;111226;Duta
;111227;Konsul Besar
;111228;Pesuruhjaya Tinggi Kerajaan
;111229;Setiausaha Kedutaan
;111230;Datuk Bandar
;111231;Yang Dipertua Pihak Berkuasa Tempatan
;111232;Setiausaha Dewan Negara
;111233;Setiausaha Dewan Rakyat
;111234;Pesuruhjaya Polis
;111235;Ketua Pentadbir Parlimen
;111236;Ketua Pegawai Eksekutif Pos Malaysia
;111237;Timbalan Ketua Setiausaha Pentadbiran Kerajaan
;111238;Ketua Bahagian/Seksyen/Unit 
;111239;Laksamana Madya Maritim
;111240;Laksamana Muda Maritim
;111241;Timbalan Ketua Polis Negara
;111242;Timbalan Pesuruhjaya Polis
;111243;Atase
;111301;Penghulu Gred NP29
;111302;Demang
;111303;Penggawa
;111304;Ketua Kampung
;111305;Tok Sidang
;111306;Ketua Anak Negeri
;111307;Tok Batin
;111308;Kapitan
;111309;Tuai Rumah
;111310;Ketua Adat
;111311;Ketua Kampung Baru
;111312;Undang
;111313;Luak
;111314;Perut
;111315;Buapak
;111316;Orang Besar Berempat
;111317;Orang Besar Berlapan
;111318;Orang Besar Berenam Belas
;111319;Orang Besar Bertiga Puluh Dua
;111401;Presiden Parti Politik
;111402;Presiden Persekutuan Majikan-Majikan
;111403;Presiden Kongres Kesatuan Sekerja
;111404;Presiden Kongres Kesatuan Pekerja-Pekerja di dalam Perkhidmatan Awam
;111405;Ketua Setiausaha Organisasi Berkepentingan Khas
;111406;Ketua Setiausaha Organisasi Bulan Sabit Merah
;111407;Ketua Setiausaha Organisasi Hak Manusia
;111408;Ketua Setiausaha Organisasi Kemanusiaan
;111409;Ketua Setiausaha Organisasi Palang Merah
;111410;Ketua Setiausaha Organisasi Perlindungan Alam Sekitar
;111411;Ketua Setiausaha Organisasi Perlindungan Hidupan Liar
;111412;Pegawai Kanan Organisasi Berkepentingan Khas
;111413;Pegawai Kanan Organisasi Kemanusiaan
;112101;Ketua Pegawai Eksekutif (CEO)
;112102;Ketua Pegawai Operasi
;112103;Ketua Pegawai Perundangan
;112104;Ketua Pegawai Teknikal
;112105;Pengarah Eksekutif
;112106;Pengarah Syarikat
;112107;Timbalan Pengarah Eksekutif
;112108;Pengarah Urusan
;112109;Pengarah Perusahaan
;112110;Pengerusi Perusahaan
;112111;Pengurus Lapangan Terbang
;112112;Pengurus Pelabuhan
;112113;Pengurus Penyiaran Radio dan Televisyen
;112114;Pengurus Program Radio dan Televisyen
;112115;Ketua Pengarah Perusahaan
;112116;Ketua Eksekutif Organisasi
;112117;Ketua Pengarah Organisasi
;112118;Pengarah Urusan Organisasi
;112119;Pengarah Organisasi
;112120;Pengerusi Organisasi
;112121;Presiden Organisasi
;112122;Pengurus
;112123;Pengurus Besar
;112124;Pengurus Operasi
;112125;Pengarah
;112126;Pentadbir
;112127;Presiden
;112128;Pengurus Teknikal
;112129;Pengurus Gred P2
;112130;Pengurus Kanan Gred P1
;112131;Penolong Pengurus Gred P3
;112132;Ketua Operasi
;112133;Penolong Pengurus
;112134;Penolong Ketua Pegawai Operasi
;112135;Pengarah Teknikal
;112136;Penolong Naib Presiden 
;112137;Timbalan Ketua Pegawai Eksekutif (CEO)
;121101;Ketua Pegawai Kewangan
;121102;Pengurus Kewangan
;121103;Pengurus Akaun
;121104;Pengurus Bajet
;121105;Pengurus Audit
;121106;Pengurus Audit dan Pengurusan Risiko
;121107;Pengurus Kredit
;121108;Pengurus Insurans
;121109;Pengurus Dana
;121110;Pengurus Perbendaharaan
;121111;Pengurus Kewangan dan Institusi
;121112;Pengurus Perbelanjaan
;121113;Pengurus Pemantauan Transaksi
;121114;Pengurus Cukai
;121115;Pengurus Tuntutan
;121116;Pengarah Kewangan
;121117;Ketua Pengawal Kewangan
;121118;Pengurus Teknikal (Perakaunan)
;121119;Pengurus Risiko
;121120;Ketua Perolehan
;121121;Pengurus Perolehan
;121122;Pengurus Pemodelan Risiko
;121123;Pengurus Penilaian Aktuari
;121124;Pengurus Pembidaan
;121125;Pengurus Audit Tenaga
;121126;Penolong Pengurus Audit Tenaga
;121127;Pengurus Harga Pindahan
;121128;Ketua Pengurusan Penajajaminan dan Portfolio
;121129;Ketua Tuntutan
;121130;Ketua Pasukan Rekod Melapor (RTR / R2)
;121201;Ketua Pegawai Sumber Manusia
;121202;Pengurus Sumber Manusia
;121203;Pengurus Latihan
;121204;Pengurus Perhubungan Perindustrian
;121205;Pengurus Kesihatan dan Keselamatan Pekerjaan
;121206;Pengurus Personel
;121207;Pengurus Perekrutan
;121208;Pengurus Keselamatan Pekerjaan
;121209;Pengurus Pembangunan Pembelajaran dan Organisasi
;121210;Pengurus Pampasan dan Faedah
;121211;Pengurus Bakat dan Prestasi Organisasi
;121212;Pengurus Latihan Industri Halal
;121213;Pengurus Kesihatan, Keselamatan, Alam Sekitar & Kualiti
;121301;Pengurus Dasar dan Perancangan
;121302;Pengurus Perancangan Strategik
;121303;Pengurus Perancangan Korporat
;121304;Pengurus Dasar dan Penyelidikan
;121305;Pengurus Perancangan Projek
;121306;Ketua Projek
;121307;Pengurus Program
;121308;Pengurus Hal Ehwal Pengaturan
;121309;Pengurus Perancangan
;121401;Ketua Pegawai Pematuhan
;121402;Pengurus Pengeluaran
;121403;Pengurus Pengeluaran dan Operasi Perniagaan
;121404;Pengurus Perkhidmatan Pembangunan Perniagaan
;121405;Perancang Pengeluaran
;121406;Pengawal Pengeluaran
;121407;Pengurus Pembangunan Perniagaan
;121408;Pengurus Pematuhan
;121409;Pengurus Fesyen dan Pakaian
;121410;Pengurus Pematuhan Halal
;121411;Pengurus Rantaian Bekalan
;121412;Pengurus Pembangunan Perniagaan dan Produk
;121413;Pengurus Kemampanan
;121414;Pengurus Projek
;121415;Penolong Pengurus Projek
;121416;Pengurus Teknologi
;121417;Ketua Pegawai Perniagaan
;121418;Perancang Pengilangan
;121419;Perancang Operasi
;121501;Pengurus Pentadbiran
;121502;Pengurus Perkhidmatan Pentadbiran
;121503;Ketua Pembangunan Aset
;121504;Pengurus Prasarana
;121505;Pengurus Perkhidmatan Korporat
;121506;Ketua Komunikasi Korporat
;121507;Ketua Pegawai Tadbir
;121508;Ketua Pentadbir Perniagaan
;121509;Pengurus Pejabat Maya 
;121601;Pengurus Kawalan Kualiti
;121602;Pengurus Jaminan Kualiti
;121603;Pengurus Jaminan Kualiti, Pengilangan Makanan Halal
;121604;Pengurus Jaminan Kualiti, Pemprosesan Daging Halal
;1219;PENGURUS PERKHIDMATAN PERNIAGAAN DAN PENTADBIRAN YANG TIDAK DIKELASKAN DI MANA-MANA
;122101;Ketua Pegawai Pemasaran
;122102;Pengurus Jualan
;122103;Pengurus Jualan dan Pemasaran
;122104;Pengurus Pemasaran
;122105;Pengurus Promosi Jualan
;122106;Pengurus Penyelidikan Pasaran
;122107;Pengurus Produk
;122108;Pengurus Jenama
;122109;Pengurus Pasar Raya
;122110;Pengurus Pusat Beli-Belah
;122111;Pengurus Runcit
;122112;Pengurus Rakan Kongsi Saluran
;122113;Pengarah Jualan
;122114;Pengurus Cawangan
;122115;Penolong Pengurus Cawangan
;122116;Pengurus Pemasaran Digital
;122117;Penolong Pengurus Pemasaran Digital
;122118;Penolong Pengurus Pemasaran
