#;RECORD_VERSION;Kod Ringkas;Kod Penuh;NAMA_MELAYU;NAME_EN;c1;c2;c3;c4;UNIT;Catatan
"";"2009v1.1";"111913";"111913002";"Canary seed";"Canary seed";"1190";"100830000";"";"";"";""
"";"2009v1.1";"111913";"111913003";"Other cereals";"Other cereals";"1190";"100890000";"";"";"";""
"";"2009v1.1";"112001";"112001001";"Rice, seed in the husk";"Rice, seed in the husk";"1131";"100610900";"";"";"";""
"";"2009v1.1";"112002";"112002001";"Rice paddy, other (not husked)";"Rice paddy, other (not husked)";"1132";"100610900";"";"";"";""
"";"2009v1.1";"112002";"112002002";"Pulut (glutinous rice)";"Pulut (glutinous rice)";"1132";"100610100";"";"";"";""
"";"2009v1.1";"112002";"112002003";"Other rice ";"Other rice ";"1132";"100610900";"";"";"";""
"";"2009v1.1";"113101";"113101001";"Asparagus";"Asparagus";"1211";"070920000";"";"";"";""
"";"2009v1.1";"113102";"113102001";"Brussels sprouts";"Brussels sprouts";"1212";"070420000";"";"";"";""
"";"2009v1.1";"113102";"113102002";"Round cabbages";"Round cabbages";"1212";"070490110";"";"";"";""
"";"2009v1.1";"113102";"113102003";"Other cabbages";"Other cabbages";"1212";"070490190";"";"";"";""
"";"2009v1.1";"113102";"113102004";"Kohlrabi, kale and similar edible brassicas";"Kohlrabi, kale and similar edible brassicas";"1212";"070490900";"";"";"";""
"";"2009v1.1";"113102";"113102005";"Chinese mustard (sawi hijau pahit)";"Chinese mustard (sawi hijau pahit)";"1212";"070490200";"";"";"";""
"";"2009v1.1";"113102";"113102006";"Chinese white cabbage (sawi putih)";"Chinese white cabbage (sawi putih)";"1212";"070490190";"";"";"";""
"";"2009v1.1";"113102";"113102007";"Leaf mustard (sawi bunga)";"Leaf mustard (sawi bunga)";"1212";"070490190";"";"";"";""
"";"2009v1.1";"113102";"113102008";"Dwarf white mustard (sawi pendek)";"Dwarf white mustard (sawi pendek)";"1212";"070490190";"";"";"";""
"";"2009v1.1";"113102";"113102009";"Sawi kerinting";"Sawi kerinting";"1212";"070490190";"";"";"";""
"";"2009v1.1";"113102";"113102010";"Chinese Kale (Kailan)";"Chinese Kale (Kailan)";"1212";"070490190";"";"";"";""
"";"2009v1.1";"113103";"113103001";"Cauliflowers and headed broccoli";"Cauliflowers and headed broccoli";"1213";"070410000";"";"";"";""
"";"2009v1.1";"113104";"113104001";"Cabbage lettuce (head lettuce)";"Cabbage lettuce (head lettuce)";"1214";"070511000";"";"";"";""
"";"2009v1.1";"113104";"113104002";"Other lettuce";"Other lettuce";"1214";"070519000";"";"";"";""
"";"2009v1.1";"113104";"113104003";"Witloof chicory (Cichorium intybus var. foliosum)";"Witloof chicory (Cichorium intybus var. foliosum)";"1214";"070521000";"";"";"";""
"";"2009v1.1";"113104";"113104004";"Other chicory";"Other chicory";"1214";"070529000";"";"";"";""
