"";"A";"01";"BAHAGIAN 01 : PENGELUARAN TANAMAN DAN TERNAKAN, PEMBURUAN DAN AKTIVITI PERKHIDMATAN BERKAITAN";"_";"_"
"";"A";"011";"Kumpulan 011 : Penanaman tanaman tidak kekal";"_";"_"
"";"A";"0111(1)";"Penanaman bijirin (kecuali padi), tanaman kekacang dan bijian berminyak";"";"(1) Termasuk: penanaman tanaman campuran di dalam unit pertanian <br>Tidak termasuk: (a) penanaman jagung manis, lihat 01139<br> (b) penanaman jagung, lupin, kailan untuk makanan ternakan, lihat 01199 <br> (c) penanaman buah-buahan oleaginus, lihat 0126"
"";"A";"01111";"Penanaman jagung";"01111";"_"
"";"A";"01112";"Penanaman tanaman kekacang (2)";"01112";"(2) Termasuk: penanaman kacang, kacang parang, kacang kuda, kacang lembu, kacang lentil, kacang lupin, kacang pea dan kacang hijau"
"";"A";"01113";"Penanaman bijian berminyak (3)";"01113";"(3) Termasuk: penanaman kacang soya, kacang tanah, kacang kastor, biji rami, biji sawi, biji niger, biji rap, biji bunga safflower, biji bijian dan biji bunga matahari"
"";"A";"01119";"Penanaman bijirin lain t.t.t.l.(4)";"01119";"(4) Termasuk: penanaman gandum, sorgum, barli, rai, oat, millet, quinoa, amaranth, dan chia"
"";"A";"0112(5)";"Penanaman beras (padi)";"_";"(5) Termasuk: tanaman organik dan penanaman padi yang dimodifikasi secara genetik"
"";"A";"01120";"Penanaman beras (padi)";"01120";"(5) Termasuk: tanaman organik dan penanaman padi yang dimodifikasi secara genetik"
"";"A";"0113 (6)";"Penanaman sayur-sayuran dan tembikai, akar dan ubi";"";"(6) Tidak termasuk: penanaman rempah ratus dan tanaman aromatik yang lain, lihat 0128"
"";"A";"01131";"Penanaman sawi";"01131p, 01135p";"_"
"";"A";"01132";"Penanaman bayam";"01131p, 01135p";"_"
"";"A";"01";"BAHAGIAN 01 : PENGELUARAN TANAMAN DAN TERNAKAN, PEMBURUAN DAN AKTIVITI PERKHIDMATAN BERKAITAN";"_"";"_"
"";"A";"011";"Kumpulan 011 : Penanaman tanaman tidak kekal";"_"";"_"
"";"A";"01133";"Penanaman tembikai (1)";"01133";"(1) Termasuk: penanaman tembikai, milk melon, fragrant melon, tembikai susu dan tembikai wangi"
"";"A";"01134";"Penanaman cendawan dan trufel";"01134";"_"
"";"A";"01135";"Penanaman timun";"01132p, 01135p";"_"
"";"A";"01136";"Penanaman terung (aubergines)";"01132p, 01135p";"_"
"";"A";"01137";"Penanaman kobis";"01131p, 01135p";"_"
"";"A";"01138";"Penanaman tomato";"01132p, 01135p";"_"
"";"A";"01139";"Penanaman sayur-sayuran dan ubi lain t.t.t.l.(2)";"01135p, 01136, 01137, 01138";"(2) Termasuk: <br>(a) penanaman lobak, bawang putih, bawang besar (termasuk bawang merah), ubi gula, ubi kentang, keledek, ubi kayu, keladi dan jagung manis <br>(b) penanaman benih sayur dan benih ubi gula <br>Tidak termasuk: penanaman bebawang, ubi, dan benih cendawan, lihat 01303"
"";"A";"0114";"Penanaman tebu";"_";"_"
"";"A";"01140";"Penanaman tebu";"01140";"_"
"";"A";"0115(3)";"Penanaman tembakau";"";"(3) Tidak termasuk: pembuatan produk tembakau, lihat 12000"
"";"A";"01150";"Penanaman tembakau";"01150";"(3) Tidak termasuk: pembuatan produk tembakau, lihat 12000"
"";"A";"01";"BAHAGIAN 01 : PENGELUARAN TANAMAN DAN TERNAKAN, PEMBURUAN DAN AKTIVITI PERKHIDMATAN BERKAITAN;"_";"_"
"";"A";"011";"Kumpulan 011 : Penanaman tanaman tidak kekal;"_";"_"
"";"A";"0116";"Penanaman tanaman berserat";"_";"_"
"";"A";"01161";"Penanaman kenaf";"01160p";"_"
"";"A";"01169";"Penanaman tanaman berserat yang lain t.t.t.l.(1)";"01160p";"(1) Termasuk: <br>(a) penanaman pokok kapas <br>(b) penanaman jut dan lain-lain tanaman berserat untuk tekstil <br>(c) penanaman pokok flaks dan hem <br>(d) penanaman sisal dan lain-lain tanaman berserat dari jenis daun berduri untuk tujuan tekstil <br>(e) penanaman abaka, rami dan sayuran berserat untuk tekstil"
"";"A";"0117";"Penanaman cili dan lada (lada benggala spp.)";"_";"_"
"";"A";"01170";"Penanaman cili dan lada (lada benggala spp.)";"01282";"_"
"";"A";"0119(2)";"Penanaman tanaman bukan kekal lain";"_";"(2) Tidak termasuk: <br>(a) penanaman rempah bukan kekal, aromatik dan tanaman untuk tujuan ubat, lihat 0128 <br>(b) penanaman benih ubi gula, lihat 01139"
"";"A";"01191";"Penanaman bunga";"01191";"_"
"";"A";"01192";"Penanaman biji benih bungaan";"01192";"_"
"";"A";"01193";"Penanaman sagu (rumbia)";"01193;"_"
"";"A";"01194";"Penanaman napier";"01199p;"_"
"";"A";"01195";"Penanaman pokok roselle";"01296;"_"
"";"A";"01199";"Penanaman tanaman bukan kekal lain t.t.t.l. (3)";"01199p";"(3) Termasuk: penanaman jagung dan tumbuhan lain untuk makanan ternakan, ketum ayam"
"";"A";"01";"BAHAGIAN 01 : PENGELUARAN TANAMAN DAN TERNAKAN, PEMBURUAN DAN AKTIVITI PERKHIDMATAN BERKAITAN";"_";"_"
"";"A";"012";"Kumpulan 012 : Penanaman tanaman kekal";"_";"_"
"";"A";"0121(1)";"Penanaman anggur";"";"(1) Termasuk: penanaman anggur untuk penggunaan atau pengeluaran wain, jus, cuka dan buah kering lain, cth. kismis, zante currants dan sultanas<br> Tidak termasuk:<br>(a) membuat wain, lihat 1102<br>(b) pemprosesan dan pengawetan anggur, lihat 1030"
"";"A";"01210";"Penanaman anggur";"01210";"_"
"";"A";"0122";"Penanaman buah-buahan tropika dan subtropika";"_";"_"
"";"A";"01221";"Penanaman pisang";"01221";"_"
