1;2;3;4
97;"111410";"Ketua Setiausaha Organisasi Perlindungan Alam Sekitar";"Secretary-General, Environmental Protection Organization"
98;"111411";"Ketua Setiausaha Organisasi Perlindungan Hidupan Liar";"Secretary-General, Wildlife Protection Organization"
99;"111412";"Pegawai Kanan Organisasi Berkepentingan Khas";"Senior Officials of Special Interest Organization"
100;"111413";"Pegawai Kanan Organisasi Kemanusiaan";"Senior Officials of Humanitarian Organization"
102;"1121";"PENGARAH URUSAN DAN KETUA EKSEKUTIF";"MANAGING DIRECTORS AND CHIEF EXECUTIVES"
103;"112101";"Ketua Pegawai Eksekutif";"Chief Executive Officer"
104;"112102";"Ketua Pegawai Operasi";"Chief Operating Officer"
105;"112103";"Ketua Pegawai Perundangan";"Chief Legal Officer"
106;"112104";"Ketua Pegawai Teknikal";"Chief Technical Officer"
107;"112105";"Pengarah Eksekutif";"Executive Director"
108;"112106";"Pengarah Syarikat";"Company Director"
109;"112107";"Timbalan Pengarah Eksekutif";"Deputy Executive Director"
110;"112108";"Pengarah Urusan";"Managing Director"
111;"112109";"Pengarah Perusahaan";"Enterprise Director"
112;"112110";"Pengerusi Perusahaan";"Enterprise Chairman"
113;"112111";"Pengurus Lapangan Terbang";"Airport Manager"
114;"112112";"Pengurus Pelabuhan";"Harbour Manager"
115;"112113";"Pengurus Penyiaran Radio dan Televisyen";"Radio and Television Manager, Broadcasting,"
116;"112114";"Pengurus Program Radio dan Televisyen";"Radio & Television Manager, Programme"
117;"112115";"Ketua Pengarah Perusahaan";"Director-General of Enterprise"
118;"112116";"Ketua Eksekutif Organisasi";"Chief Executive of Organization"
119;"112117";"Ketua Pengarah Organisasi";"Director-General of Organization"
120;"112118";"Pengarah Urusan Organisasi";"Managing-Director of Organization"
121;"112119";"Pengarah Organisasi";"Director of Organization"
122;"112120";"Pengerusi Organisasi";"Chairperson of Organization"
123;"112121";"Presiden Organisasi";"President of Organization"
124;"112122";"Pengurus";"Manager"
125;"112123";"Pengurus Besar";"General Manager"
126;"112124";"Pengurus Operasi";"Operations Manager"
127;"112125";"Pengarah";"Director"
128;"112126";"Pentadbir";"Administrator"
129;"112127";"Presiden";"President"
130;"112128";"Pengurus Teknikal";"Technical Manager"
131;"112129";"Pengurus Gred P2";"Manager Grade P2"
132;"112130";"Pengurus Kanan Gred P1";"Senior Manager Grade P1"
133;"112131";"Penolong Pengurus Gred P3";"Assistant Manager Grade P3"
134;"112132";"Ketua Operasi";"Head of Operation"
