;01001001;01-001-001;JOHOR;4
;01001002;01-001-002;JOHOR;4
;01001003;01-001-003;JOHOR;4
;01001004;01-001-004;JOHOR;4
;01001005;01-001-005;JOHOR;4
;01001006;01-001-006;JOHOR;4
;01001007;01-001-007;JOHOR;4
;01001008;01-001-008;JOHOR;4
;01001009;01-001-009;JOHOR;4
;01001010;01-001-010;JOHOR;4
;01001011;01-001-011;JOHOR;4
;01001012;01-001-012;JOHOR;4
;01001013;01-001-013;JOHOR;4
;01001014;01-001-014;JOHOR;4
;01001015;01-001-015;JOHOR;4
;01001016;01-001-016;JOHOR;4
;01001017;01-001-017;JOHOR;4
;01001018;01-001-018;JOHOR;4
;01001019;01-001-019;JOHOR;4
;01001020;01-001-020;JOHOR;4
;01001021;01-001-021;JOHOR;4
;01001022;01-001-022;JOHOR;4
;01001023;01-001-023;JOHOR;4
;01001024;01-001-024;JOHOR;4
;01001025;01-001-025;JOHOR;4
;01001026;01-001-026;JOHOR;4
;01001027;01-001-027;JOHOR;4
;01001028;01-001-028;JOHOR;4
;01001029;01-001-029;JOHOR;4
;01001030;01-001-030;JOHOR;4
;01001031;01-001-031;JOHOR;4
;01001032;01-001-032;JOHOR;4
;01001033;01-001-033;JOHOR;4
;01001034;01-001-034;JOHOR;4
;01001035;01-001-035;JOHOR;4
;01001036;01-001-036;JOHOR;4
;01001037;01-001-037;JOHOR;4
;01001038;01-001-038;JOHOR;4
;01001039;01-001-039;JOHOR;4
;01001040;01-001-040;JOHOR;3
;01001041;01-001-041;JOHOR;4
;01001042;01-001-042;JOHOR;4
;01001043;01-001-043;JOHOR;4
;01001044;01-001-044;JOHOR;4
;01001045;01-001-045;JOHOR;4
;01001046;01-001-046;JOHOR;4
;01001047;01-001-047;JOHOR;3
;01001048;01-001-048;JOHOR;3
;01001049;01-001-049;JOHOR;3
;01001050;01-001-050;JOHOR;3
;01001051;01-001-051;JOHOR;3
;01001052;01-001-052;JOHOR;3
;01001053;01-001-053;JOHOR;3
;01001054;01-001-054;JOHOR;3
;01001055;01-001-055;JOHOR;3
;01001056;01-001-056;JOHOR;4
;01001057;01-001-057;JOHOR;4
;01001058;01-001-058;JOHOR;4
;01001059;01-001-059;JOHOR;4
;01001060;01-001-060;JOHOR;3
;01001061;01-001-061;JOHOR;3
;01001062;01-001-062;JOHOR;3
;01001063;01-001-063;JOHOR;3
;01001064;01-001-064;JOHOR;4
;01001065;01-001-065;JOHOR;4
;01001066;01-001-066;JOHOR;4
;01001067;01-001-067;JOHOR;4
;01001068;01-001-068;JOHOR;4
;01001069;01-001-069;JOHOR;4
;01001070;01-001-070;JOHOR;3
;01001071;01-001-071;JOHOR;3
;01001072;01-001-072;JOHOR;3
;01001073;01-001-073;JOHOR;3
;01002001;01-002-001;JOHOR;4
;01002002;01-002-002;JOHOR;4
;01002003;01-002-003;JOHOR;4
;01002004;01-002-004;JOHOR;4
;01002005;01-002-005;JOHOR;4
;01002006;01-002-006;JOHOR;4
;01002007;01-002-007;JOHOR;4
;01002008;01-002-008;JOHOR;4
;01002009;01-002-009;JOHOR;4
;01002010;01-002-010;JOHOR;2
;01002011;01-002-011;JOHOR;2
;01002012;01-002-012;JOHOR;2
;01002013;01-002-013;JOHOR;2
;01002014;01-002-014;JOHOR;2
;01002015;01-002-015;JOHOR;2
;01002016;01-002-016;JOHOR;2
;01002017;01-002-017;JOHOR;2
;01002018;01-002-018;JOHOR;2
;01002019;01-002-019;JOHOR;4
;01002020;01-002-020;JOHOR;4
;01002021;01-002-021;JOHOR;4
;01002022;01-002-022;JOHOR;4
;01002023;01-002-023;JOHOR;4
;01002024;01-002-024;JOHOR;4
;01002025;01-002-025;JOHOR;2
