"";"PEMBINAAN";"PEMBINAAN";"206";"43216";"Security systems";"43216";"Sistem keselamatan(4)"
"";"PEMBINAAN";"PEMBINAAN";"206";"43217";"Installation of electrical chargers";"43219";"Pemasangan elektrik t.t.t.l."
"";"PEMBINAAN";"PEMBINAAN";"206";"43221";"Installation of heating systems (electric, gas and oil)";"43221";"Pemasangan sistem pemanasan (elektrik, gas dan minyak)"
"";"PEMBINAAN";"PEMBINAAN";"206";"43222";"Installation of furnaces, cooling towers";"43222";"Pemasangan relau, menara pendinginan"
"";"PEMBINAAN";"PEMBINAAN";"206";"43223";"Installation of non-electric solar energy collectors";"43223";"Pemasangan pengumpul tenaga solar bukan elektrik"
"";"PEMBINAAN";"PEMBINAAN";"206";"43224";"Installation of plumbing and sanitary equipment";"43224";"Pemasangan sistem paip dan peralatan sanitasi"
"";"PEMBINAAN";"PEMBINAAN";"206";"43225";"Installation of ventilation, refrigeration or air-conditioning equipment and ducts";"43225";"Pemasangan peralatan dan saluran pengudaraan, penyejukan atau pendinginan udara"
"";"PEMBINAAN";"PEMBINAAN";"206";"43226";"Installation of gas fittings";"43226";"Pemasangan kelengkapan gas"
"";"PEMBINAAN";"PEMBINAAN";"206";"43227";"Installation of fire and lawn sprinkler systems";"43227";"Pemasangan sistem perenjis air untuk kebakaran dan padang"
"";"PEMBINAAN";"PEMBINAAN";"206";"43228";"Installation of steam piping";"43228";"Pemasangan paip untuk wap"
"";"PEMBINAAN";"PEMBINAAN";"206";"43229";"Plumbing, heat and air-conditioning installation n.e.c.";"43229";"Pemasangan sistem paip, pemanasan dan pendinginan udara t.t.t.l."
"";"PEMBINAAN";"PEMBINAAN";"206";"43291";"Installation of elevators, escalators in buildings or other construction projects";"43291";"Pemasangan lif, eskalator dalam bangunan atau projek pembinaan lain(2)"
"";"PEMBINAAN";"PEMBINAAN";"206";"43292";"Installation of automated and revolving doors in buildings or other construction projects";"43292";"Pemasangan pintu automatik dan berputar dalam bangunan atau projek pembinaan lain"
"";"PEMBINAAN";"PEMBINAAN";"206";"43293";"Installation of lightning conductors in buildings or other construction projects";"43293";"Pemasangan konduktor kilat dalam bangunan atau projek pembinaan lain"
"";"PEMBINAAN";"PEMBINAAN";"206";"43294";"Installation vacuum cleaning systems in buildings or other construction projects";"43294";"Pemasangan sistem pembersihan vakum dalam bangunan atau projek pembinaan lain"
"";"PEMBINAAN";"PEMBINAAN";"206";"43295";"Installation thermal, sound or vibration insulation in buildings or other construction projects";"43295";"Pemasangan sistem penebatan haba, bunyi atau gegaran dalam bangunan atau projek pembinaan lain"
"";"PEMBINAAN";"PEMBINAAN";"206";"43299";"Other construction installation n.e.c.";"43299";"Pemasangan pembinaan lain t.t.t.l."
"";"PEMBINAAN";"PEMBINAAN";"206";"43301";"Installation of doors, windows, door and window frames of wood or other materials, fitted kitchens, staircases, shop fittings and furniture";"43301";"Pemasangan rangka pintu, tingkap, rangka /bingkai pintu dan tingkap daripada kayu atau bahan lain, dapur pasang siap, tangga, kelengkapan kedai dan perabot(2)"
"";"PEMBINAAN";"PEMBINAAN";"206";"43302";"Laying, tiling, hanging or fitting in buildings or other construction projects of various types of materials";"43302";"Melapis, memasang jubin, menggantung atau memasang kelengkapan bangunan atau projek pembinaan lain daripada pelbagai bahan(3)"
"";"PEMBINAAN";"PEMBINAAN";"206";"43303";"Interior and exterior painting of buildings";"43303";"Mengecat dalam dan luar bangunan"
"";"PEMBINAAN";"PEMBINAAN";"206";"43304";"Painting of civil engineering structures";"43304";"Mengecat struktur kejuruteraan awam"
"";"PEMBINAAN";"PEMBINAAN";"206";"43305";"Installation of glass, mirrors";"43305";"Pemasangan kaca, cermin"
"";"PEMBINAAN";"PEMBINAAN";"206";"43306";"Interior completion";"43306";"Penyiapan dalaman bangunan(4)"
"";"PEMBINAAN";"PEMBINAAN";"206";"43307";"Cleaning of new buildings after construction";"43307";"Pembersihan bangunan baru selepas kerja pembinaan"
"";"PEMBINAAN";"PEMBINAAN";"206";"43309";"Other building completion and finishing work n.e.c.";"43309";"Penyiapan dan kemasan bangunan lain t.t.t.l."
"";"PEMBINAAN";"PEMBINAAN";"206";"43901";"Construction of foundations, including pile driving";"43901";"Pembinaan tapak, termasuk memantak cerucuk"
"";"PEMBINAAN";"PEMBINAAN";"206";"43902";"Erection of non-self-manufactured steel elements";"43902";"Pembinaan elemen keluli yang bukan dibuat sendiri"
"";"PEMBINAAN";"PEMBINAAN";"206";"43903";"Scaffolds and work platform erecting and dismantling";"43903";"Memasang dan membuka semula perancah dan platform kerja"
"";"PEMBINAAN";"PEMBINAAN";"206";"43904";"Bricklaying and stone setting";"43904";"Kerja mengikat dan menyusun bata"
"";"PEMBINAAN";"PEMBINAAN";"206";"43905";"Construction of outdoor swimming pools";"43905";"Pembinaan kolam renang luar bangunan"
"";"PEMBINAAN";"PEMBINAAN";"206";"43906";"Steam cleaning, sand blasting and similar activities for building exteriors";"43906";"Pembersihan menggunakan stim, pancutan air deras berpasir dan aktiviti seumpamanya untuk luar bangunan"
"";"PEMBINAAN";"PEMBINAAN";"206";"43907";"Renting of construction machinery and equipment with operator";"43907";"Penyewaan jentera dan peralatan pembinaan dengan operator (cth. kren)"
"";"PEMBINAAN";"PEMBINAAN";"206";"43909";"Other specialised construction activities n.e.c.";"43909";"Aktiviti pembinaan pertukangan khas lain t.t.t.l"
"";"PEMBUATAN";"PEMBUATAN";"205";"10101";"Processing and preserving of meat and production of meat products";"10101";"Pemprosesan dan pengawetan daging dan pengeluaran produk daging"
"";"PEMBUATAN";"PEMBUATAN";"205";"10102";"Processing and preserving of poultry and poultry products";"10102";"Pemprosesan dan pengawetan ayam itik dan produk ayam itik"
"";"PEMBUATAN";"PEMBUATAN";"205";"10104";"Operation of slaughterhouses engaged in killing, dressing or packing meat ";"10104";"Operasi rumah penyembelihan yang terlibat dalam pembunuhan, pembersihan atau pembungkusan daging"
"";"PEMBUATAN";"PEMBUATAN";"205";"10201";"Canning of fish, crustaceans and molluscs";"10201";"Pengetinan ikan, krustasea dan moluska"
"";"PEMBUATAN";"PEMBUATAN";"205";"10202";"Processing, curing and preserving of fish, crustacean and molluscs";"10202";"Pemprosesan dan pengawetan ikan, krustasea dan moluska"
"";"PEMBUATAN";"PEMBUATAN";"205";"10203";"Production of fishmeal for human consumption or animal feed";"10203";"Pengeluaran makanan berasaskan ikan untuk manusia atau haiwan"
"";"PEMBUATAN";"PEMBUATAN";"205";"10204";"Production of keropok";"10204";"Pengeluaran keropok termasuk keropok lekor"
"";"PEMBUATAN";"PEMBUATAN";"205";"10301";"Manufacture of fruit  and vegetable food products";"10301";"Pembuatan produk makanan buah-buahan dan sayur-sayuran"
"";"PEMBUATAN";"PEMBUATAN";"205";"10302";"Manufacture of fruit and vegetable juices ";"10302";"Pembuatan jus buah-buahan dan sayur-sayuran"
"";"PEMBUATAN";"PEMBUATAN";"205";"10304";"Manufacture of jams, marmalades and table jellies ";"10304";"Pembuatan jem, marmalad dan sajian jeli"
"";"PEMBUATAN";"PEMBUATAN";"205";"10305";"Manufacture of nuts and nut products";"10305";"Pembuatan kacang dan produk kekacang"
"";"PEMBUATAN";"PEMBUATAN";"205";"10306";"Manufacture of bean curd products";"10306";"Pembuatan produk tauhu"
"";"PEMBUATAN";"PEMBUATAN";"205";"10401";"Manufacture of crude palm oil";"10401";"Pembuatan minyak sawit mentah"
"";"PEMBUATAN";"PEMBUATAN";"205";"10402";"Manufacture of refined palm oil";"10402";"Pembuatan minyak sawit bertapis"
"";"PEMBUATAN";"PEMBUATAN";"205";"10404";"Manufacture of crude and refined vegetable oil ";"10404";"Pembuatan minyak sayuran mentah dan bertapis"
"";"PEMBUATAN";"PEMBUATAN";"205";"10405";"Manufacture of coconut oil";"10405";"Pembuatan minyak kelapa"
"";"PEMBUATAN";"PEMBUATAN";"205";"10406";"Manufacture of compound cooking fats";"10406";"Pembuatan sebatian lemak masakan"
"";"PEMBUATAN";"PEMBUATAN";"205";"10501";"Manufacture of ice cream and other edible ice such as sorbet";"10501";"Pembuatan aiskrim dan ais lain yang boleh dimakan seperti sorbet"
"";"PEMBUATAN";"PEMBUATAN";"205";"10502";"Manufacture of condensed, powdered and evaporated milk ";"10502";"Pembuatan susu pekat, tepung dan sejat"
"";"PEMBUATAN";"PEMBUATAN";"205";"10509";"Manufacture of other dairy products n.e.c.";"10509";"Pembuatan produk tenusu lain t.t.t.l"
"";"PEMBUATAN";"PEMBUATAN";"205";"10611";"Rice milling";"10611";"Pengilangan beras"
"";"PEMBUATAN";"PEMBUATAN";"205";"10612";"Flour milling";"10613";"Pengilangan tepung"
"";"PEMBUATAN";"PEMBUATAN";"205";"10619";"Manufacture of grain mill products n.e.c.";"10619";"Pembuatan produk bijian t.t.t.l"
"";"PEMBUATAN";"PEMBUATAN";"205";"10621";"Manufacture of starches and starch products";"10621";"Pembuatan kanji dan produk berkanji"
"";"PEMBUATAN";"PEMBUATAN";"205";"10622";"Manufacture of glucose, glucose syrup, maltose, inulin";"10622";"Pembuatan glukosa, sirap glukosa, maltosa, inulin"
"";"PEMBUATAN";"PEMBUATAN";"205";"10623";"Manufacture of sago and tapioca flour/products";"10623";"Pembuatan tepung/produk sagu dan ubi kayu"
"";"PEMBUATAN";"PEMBUATAN";"205";"10711";"Manufacture of biscuits and cookies";"10711";"Pembuatan biskut dan cookies"
"";"PEMBUATAN";"PEMBUATAN";"205";"10712";"Manufacture of bread, cakes and other bakery products";"10712";"Pembuatan roti, kek dan produk bakeri lain"
"";"PEMBUATAN";"PEMBUATAN";"205";"10713";"Manufacture of snack products ";"10713";"Pembuatan produk snek"
"";"PEMBUATAN";"PEMBUATAN";"205";"10714";"Manufacture of frozen bakery products ";"10714";"Pembuatan produk bakeri yang dibeku"
"";"PEMBUATAN";"PEMBUATAN";"205";"10721";"Manufacture of sugar";"10721";"Pembuatan gula"
"";"PEMBUATAN";"PEMBUATAN";"205";"10722";"Manufacture of sugar products";"10722";"Pembuatan produk daripada gula"
"";"PEMBUATAN";"PEMBUATAN";"205";"10731";"Manufacture of cocoa products";"10731";"Pembuatan produk koko"
"";"PEMBUATAN";"PEMBUATAN";"205";"10732";"Manufacture of chocolate and chocolate products";"10732";"Pembuatan coklat dan produk coklat"
"";"PEMBUATAN";"PEMBUATAN";"205";"10733";"Manufacture of sugar confectionery";"10733";"Pembuatan konfeksi gula"
"";"PEMBUATAN";"PEMBUATAN";"205";"10741";"Manufacture of meehoon, noodles and other related products";"10741";"Pembuatan bihun, mi dan produk lain yang berkaitan"
"";"PEMBUATAN";"PEMBUATAN";"205";"10750";"Manufacture of prepared meals and dishes";"10750";"Pembuatan makanan dan hidangan tersedia"
"";"PEMBUATAN";"PEMBUATAN";"205";"10761";"Manufacture of coffee";"10791";"Pembuatan kopi"
"";"PEMBUATAN";"PEMBUATAN";"205";"10762";"Manufacture of tea";"10792";"Pembuatan teh"
"";"PEMBUATAN";"PEMBUATAN";"205";"10791";"Manufacture of sauces and condiments";"10793";"Pembuatan sos dan bahan perasa"
"";"PEMBUATAN";"PEMBUATAN";"205";"10792";"Manufacture of spices and curry powder";"10794";"Pembuatan rempah ratus dan serbuk kari"
"";"PEMBUATAN";"PEMBUATAN";"205";"10793";"Manufacture of egg products";"10795";"Pembuatan produk berasaskan telur"
"";"PEMBUATAN";"PEMBUATAN";"205";"10799";"Manufacture of other food products n.e.c. ";"10799";"Pembuatan produk makanan lain t.t.t.l"
