"";""101-Tanaman";"A";"A";"01249";"Growing of other pome fruits and stones fruits n.e.c.";"01249";"01249";"Growing of other pome fruits and stones fruits n.e.c."
"";""101-Tanaman";"A";"A";"01251";"Growing of berries";"01251";"01251";"Growing of berries"
"";""101-Tanaman";"A";"A";"01252";"Growing of fruit seeds";"01252";"01252";"Growing of fruit seeds"
"";""101-Tanaman";"A";"A";"01253";"Growing of edible nuts";"01253";"01253";"Growing of edible nuts"
"";""101-Tanaman";"A";"A";"01259";"Growing of other tree and bush fruits";"01259";"01259";"Growing of other tree and bush fruits"
"";""101-Tanaman";"A";"A";"01261";"Growing of oil palm (estate)";"01261";"01261";"Growing of oil palm (estate)"
"";""101-Tanaman";"A";"A";"01262";"Growing of oil palm (smallholdings)";"01262";"01262";"Growing of oil palm (smallholdings)"
"";""101-Tanaman";"A";"A";"01263";"Growing of coconut (estate and smallholdings)";"01263";"01263";"Growing of coconut (estate and smallholdings)"
"";""101-Tanaman";"A";"A";"01269";"Growing of other oleaginous fruits n.e.c.";"01269";"01269";"Growing of other oleaginous fruits n.e.c."
"";""101-Tanaman";"A";"A";"01271";"Growing of coffee";"01271";"01271";"Growing of coffee"
"";""101-Tanaman";"A";"A";"01272";"Growing of tea";"01272";"01272";"Growing of tea"
"";""101-Tanaman";"A";"A";"01273";"Growing of cocoa";"01273";"01273";"Growing of cocoa"
"";""101-Tanaman";"A";"A";"01279";"Growing of other beverage crops n.e.c.";"01279";"01279";"Growing of other beverage crops n.e.c."
"";""101-Tanaman";"A";"A";"01281";"Growing of pepper (piper nigrum)";"01281";"01281";"Growing of pepper (piper nigrum)"
"";""101-Tanaman";"A";"A";"01170";"Growing of chilies and peppers (capsicum spp.)";"01282";"01282";"Growing of chilies and pepper (capsicum spp.)"
"";""101-Tanaman";"A";"A";"01283";"Growing of nutmeg";"01283";"01283";"Growing of nutmeg"
"";""101-Tanaman";"A";"A";"01284";"Growing of ginger";"01284";"01284";"Growing of ginger"
"";""101-Tanaman";"A";"A";"01285";"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes";"01285";"01285";"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
"";""101-Tanaman";"A";"A";"01289";"Growing of other spices and aromatic crops n.e.c.";"01289";"01289";"Growing of other spices and aromatic crops n.e.c."
"";""101-Tanaman";"A";"A";"01282";"Growing of sacha inchi";"01289p";"01289";"Growing of other spices and aromatic crops n.e.c."
"";""101-Tanaman";"A";"A";"01291";"Growing of rubber trees (estate)";"01291";"01291";"Growing of rubber trees (estate)"
"";""101-Tanaman";"A";"A";"01292";"Growing of rubber trees (smallholdings)";"01292";"01292";"Growing of rubber trees (smallholdings)"
"";""101-Tanaman";"A";"A";"01293";"Growing of trees for extraction of sap";"01293";"01293";"Growing of trees for extraction of sap"
"";""101-Tanaman";"A";"A";"01294";"Growing of nipa palm";"01294";"01294";"Growing of nipa palm"
"";""101-Tanaman";"A";"A";"01295";"Growing of areca";"01295";"01295";"Growing of areca"
"";""101-Tanaman";"A";"A";"01195";"Growing of roselle";"01296";"01296";"Growing of roselle"
"";""101-Tanaman";"A";"A";"01299";"Growing of other perennial crops n.e.c.";"01299";"01299";"Growing of other perennial crops n.e.c."
